arbitro_principal	arbitro_principal_quadro_fifa	aux1_quadro_fifa	aux2_quadro_fifa	auxiliares	cidade	clubem	clubev	estado_m	estado_v	clássico	data	estadio	hora	ingressos_disponiveis	porcentagem_ingresso_vendido	observacoes	Publico_pagante	placar_mandante	placar_visitante	quarto_arbitro	quarto_arbitro_quadro_fifa	renda_bruta	renda_liq	ano	rodada	vitoria_mandante	empate_mandante	derrota_mandante	vitoria_visitante	empate_vvisitante	derrota_visitante	mandante_posicao_final_rodada	Visitante_posicao_final_rodada	mandante_posicao_inicio_rodada	Visitante_posicao_inicio_rodada	final de semana
Wagner do Nascimento Magalhães-RJ	N	S	N	Rodrigo F. Henrique Correa-RJ_e_Luiz Cláudio Regazone-RJ	São Paulo	Palmeiras-SP	Figueirense-SC	SP	SC	0	12/09	Allianz Parque	21h00	22794	100		22794	2	0	Antônio Rogério Batista do Prado-SP	N	1349988.75	845968.24	2015	25	1	0	0	0	0	1	4	16	4	16	1
Wilton Pereira Sampaio-GO	S	S	N	Fabrício Vilarinho da Silva-GO_e_Bruno Pires-GO	São Paulo	Corinthians-SP	Joinville-SC	SP	SC	0	13/09	Arena Corinthians	11h00	41809	100		41809	3	0	Elmo Alves Resende Cunha-GO	N	2679187	1777524.65	2015	25	1	0	0	0	0	1	1	18	1	18	1
Flávio Rodrigues de Souza-SP	N	S	N	Emerson Augusto de Carvalho-SP_e_Carlos Augusto Nogueira Júnior-SP	Campinas	Ponte Preta-SP	Santos-SP	SP	SP	1	13/09	Moisés Lucarelli	11h00	10664	70.8		7554	3	1	Rodrigo Guarizo Ferreira do Amaral-SP	N	208610	105153.63	2015	25	1	0	0	0	0	1	14	7	15	4	1
André Luiz de Freitas Castro-GO	N	S	N	Alessandro Álvaro Rocha Mattos-BA_e_Marcos W. Rocha de Amorim-BA	Rio de Janeiro	Vasco-RJ	Atlético Paranaense-PR	RJ	PR	0	13/09	Maracanã	16h00	10028	91.9		9220	2	0	Luís Teixeira Rocha-RS	N	255180	-16359.92	2015	25	1	0	0	0	0	1	20	8	20	7	1
Sandro Meira Ricci-SC	S	S	N	Kléber Lúcio Gil-SC_e_Carlos Berkenbrock-SC	Porto Alegre	Grêmio-RS	São Paulo-SP	RS	SP	0	13/09	Arena do Grêmio	16h00	44227	100		44227	1	2	Bráulio da Silva Machado-SC	N	1846273	1554249.44	2015	25	0	0	1	1	0	0	3	5	3	4	1
Leandro Pedro Vuaden-RS	S	N	S	Márcio Eustáquio Santiago-MG_e_Guilherme Dias Camilo-MG	Belo Horizonte	Cruzeiro-MG	Atlético Mineiro-MG	MG	MG	1	13/09	Mineirão	16h00	48040	95.7		45991	1	1	Jaílson Macedo Freitas-BA	N	1605850	-46449.54	2015	25	0	1	0	0	1	0	12	2	12	2	1
Anderson Daronco-RS	S	S	N	Bruno Boschilla-PR_e_José Javel Silveira-RS	Chapecó	Chapecoense-SC	Flamengo-RJ	SC	RJ	0	13/09	Arena Condá	16h00	10800	100		10800	1	3	Diego Almeida Real-RS	N	327500	257201.4	2015	25	0	0	1	1	0	0	15	5	14	7	1
Bruno Arleu de Araújo-RJ	N	S	N	Cleriston Clay Barreto Rios-SE_e_Dibert Pedrosa Moisés-RJ	Florianópolis	Avaí-SC	Goiás-GO	SC	GO	0	13/09	Ressacada	18h30	4767	100		4767	2	1	Rodrigo Carvalhães de Miranda-RJ	N	57036	23239.96	2015	25	1	0	0	0	0	1	18	12	19	12	1
Heber Roberto Lopes-SC	S	S	N	Nadine Schramm Camara Bastos-SC_e_Ivan Carlos Bohn-PR	São Lourenço da Mata	Sport-PE	Fluminense-RJ	PE	RJ	0	13/09	Arena Pernambuco	18h30	5333	100		5333	1	0	Cláudio Francisco Lima e Silva-SE	N	154040	90066	2015	25	1	0	0	0	0	1	9	11	9	10	1
Anderson Daronco-RS	S	N	N	José Javel Silveira-RS_e_Rafael da Silva Alves-RS	Rio de Janeiro	Fluminense-RJ	Palmeiras-SP	RJ	SP	0	16/09	Maracanã	19h30	11531	85.2		9824	1	4	Francisco de Paula dos Santos Silva Neto-RS	N	403865	88791.74	2015	26	0	0	1	1	0	0	11	4	11	4	0
