arbitro_principal	arbitro_principal_quadro_fifa	aux1_quadro_fifa	aux2_quadro_fifa	auxiliares	cidade	clubem	clubev	estado_m	estado_v	clássico	data	estadio	hora	ingressos_disponiveis	porcentagem_ingresso_vendido	observacoes	Publico_pagante	placar_mandante	placar_visitante	quarto_arbitro	quarto_arbitro_quadro_fifa	renda_bruta	renda_liq	ano	rodada	vitoria_mandante	empate_mandante	derrota_mandante	vitoria_visitante	empate_vvisitante	derrota_visitante	mandante_posicao_final_rodada	Visitante_posicao_final_rodada	mandante_posicao_inicio_rodada	Visitante_posicao_inicio_rodada	final de semana
Anderson Daronco-RS	S	S	N	Nadine Schramm Camara Bastos-SC_e_Rafael da Silva Alves-RS	Curitiba	Coritiba-PR	Palmeiras-SP	PR	SP	0	15/06	Couto Pereira	21h45	12794	100		12794	2	2	Rodolpho Toski Marques-PR	N	376990	134059.14	2016	8	0	1	0	0	1	0	14	2	16	1	0
Péricles Bassols Pegado Cortez-PE	S	N	N	Thiago Henrique Neto Corrêa Farinha-RJ_e_Cléberson Nascimento-PE	Porto Alegre	Internacional-RS	Atlético Mineiro-MG	RS	MG	0	16/06	Beira-Rio	19h30	21881	100		21881	2	0	Diego Almeida Real-RS	N	602270	400946.89	2016	8	1	0	0	0	0	1	1	18	2	17	0
Ricardo Marques Ribeiro-MG	S	S	N	Guilherme Dias Camilo-MG_e_Pablo Almeida Costa-MG	Brasília	Fluminense-RJ	Corinthians-SP	RJ	SP	0	16/06	Mané Garrincha	20h00	21148	100		21148	1	0	Eduardo Tomaz de Aquino Valadão-GO	N	994960	800000	2016	8	1	0	0	0	0	1	10	5	10	4	0
Eduardo Tomaz de Aquino Valadão-GO	N	S	N	Fabrício Vilarinho da Silva-GO_e_Cristhian Passos Sorence-GO	São Paulo	Palmeiras-SP	Santa Cruz-PE	SP	PE	0	18/06	Allianz Parque	16h00	34162	100		34162	3	1	Marcelo Aparecido Ribeiro de Souza-SP	N	2167071.76	1605012.07	2016	9	1	0	0	0	0	1	1	10	2	9	1
Anderson Daronco-RS	S	S	N	Bruno Pires-GO_e_Alexandre Pruinelli Kleiniche-RS	Curitiba	Atlético Paranaense-PR	Santos-SP	PR	SP	0	18/06	Arena da Baixada	18h00	15359	100		15359	1	0	Edivaldo Elias da Silva-PR	N	395520	136492.19	2016	9	1	0	0	0	0	1	9	5	13	4	1
Wagner do Nascimento Magalhães-RJ	N	N	N	Dibert Pedrosa Moisés-RJ_e_Luiz Cláudio Regazone-RJ	Belo Horizonte	América Mineiro-MG	Coritiba-PR	MG	PR	0	18/06	Independência	21h00	2607	30.5		796	2	1	Igor Junio Benevenuto-MG	N	12290	-52832.18	2016	9	1	0	0	0	0	1	19	15	20	14	1
Leandro Pedro Vuaden-RS	S	N	N	José Eduardo Calza-RS_e_Lúcio Beiersdorf Flor-RS	Salvador	Vitória-BA	Chapecoense-SC	BA	SC	0	19/06	Manoel Barradas (Barradão)	11h00	7963	96.7		7702	1	2	Johnn Herbert Alves Bispo-BA	N	96034	22194.56	2016	9	0	0	1	1	0	0	16	8	14	11	1
Wagner Reway-MT	N	N	S	Carlos Berkenbrock-SC_e_Nadine Schramm Camara Bastos-SC	Belo Horizonte	Atlético Mineiro-MG	Ponte Preta-SP	MG	SP	0	19/06	Independência	11h00	16768	91.9		15404	3	0	Cleisson Veloso Pereira-MG	N	300593	-23703.39	2016	9	1	0	0	0	0	1	14	10	18	8	1
Elmo Alves Resende Cunha-GO	N	S	S	Alessandro Álvaro Rocha Mattos-BA_e_Guilherme Dias Camilo-MG	Brasília	Flamengo-RJ	São Paulo-SP	RJ	SP	0	19/06	Mané Garrincha	16h00	34829	78.2		27233	2	2	Rodrigo Batista Raposo-DF	N	1493145	759387.66	2016	9	0	1	0	0	1	0	7	5	7	6	1
Rodolpho Toski Marques-PR	N	N	N	Ivan Carlos Bohn-PR_e_Rafael Trombeta-PR	São Paulo	Corinthians-SP	Botafogo-RJ	SP	RJ	0	19/06	Arena Corinthians	16h00	34747	100		34747	3	1	Vinícius Furlan-SP	N	2023396.5	1234007.64	2016	9	1	0	0	0	0	1	4	17	5	14	1
Luiz Flávio de Oliveira-SP	S	S	N	Emerson Augusto de Carvalho-SP_e_Alberto Poletto Masseira-SP	Florianópolis	Figueirense-SC	Internacional-RS	SC	RS	0	19/06	Orlando Scarpelli	16h00	8741	100		8741	3	2	Evandro Bender-SC	N	266735	173821.51	2016	9	1	0	0	0	0	1	13	2	12	1	1
Raphael Claus-SP	S	N	N	Danilo Ricardo Simon Manis-SP_e_Rogério Pablos Zanardo-SP	Recife	Sport-PE	Fluminense-RJ	PE	RJ	0	19/06	Ilha do Retiro	16h00	7385	97.1		7173	2	1	Nielson Nogueira Dias-PE	N	111090	54119	2016	9	1	0	0	0	0	1	17	10	19	10	1
Thiago Duarte Peixoto-SP	N	S	N	Marcelo Carvalho Van Gasse-SP_e_Alex Ang Ribeiro-SP	Porto Alegre	Grêmio-RS	Cruzeiro-MG	RS	MG	0	19/06	Arena do Grêmio	19h00	14658	100		14658	2	0	Jean Pierre Gonçalves Lima-RS	N	453041	337550.76	2016	9	1	0	0	0	0	1	3	19	3	17	1
Péricles Bassols Pegado Cortez-PE	S	N	N	Clóvis Amaral da Silva-PE_e_Cléberson Nascimento-PE	São Paulo	Palmeiras-SP	América Mineiro-MG	SP	MG	0	21/06	Allianz Parque	21h30	27429	100		27429	2	0	Flávio Rodrigues de Souza-SP	N	1543520.8	1053764.15	2016	10	1	0	0	0	0	1	1	20	1	19	0
Dewson Fernando Freitas da Silva-PA	S	N	N	Márcio Gleidson Correia Dias-PA_e_Hélcio Araújo Neves-PA	Campinas	Ponte Preta-SP	Cruzeiro-MG	SP	MG	0	22/06	Moisés Lucarelli	19h30	5149	76.8		3955	0	4	Thiago Duarte Peixoto-SP	N	67060	-5636.26	2016	10	0	0	1	1	0	0	15	14	10	19	0
Emerson de Almeida Ferreira-MG	N	N	N	Pablo Almeida Costa-MG_e_Marconi Helbert Vieira-MG	Juiz de Fora	Botafogo-RJ	Figueirense-SC	RJ	SC	0	22/06	Mário Helênio	21h00	21148	13.2		2797	0	0	Rodrigo Nunes de Sá-RJ	N	71040	-95135.31	2016	10	0	1	0	0	1	0	18	9	17	13	0
Wagner Reway-MT	N	S	N	Eduardo Gonçalves da Cruz-MS_e_Fábio Rodrigo Rubinho-MT	Recife	Santa Cruz-PE	Flamengo-RJ	PE	RJ	0	22/06	Arruda	21h00	12603	89.4		11263	0	1	Gilberto Rodrigues Castro Júnior-PE	N	247515	196469.29	2016	10	0	0	1	1	0	0	13	6	10	7	0
Rodolpho Toski Marques-PR	N	N	N	Fabiano da Silva Ramires-ES_e_Vanderson Zanotti-ES	Cariacica	Fluminense-RJ	Santos-SP	RJ	SP	0	22/06	Kléber Andrade	21h45	4721	100		4721	2	4	Felipe Varejão-ES	N	177312	200000	2016	10	0	0	1	1	0	0	12	4	10	5	0
Wilton Pereira Sampaio-GO	S	S	N	Fabrício Vilarinho da Silva-GO_e_Ivan Carlos Bohn-PR	Belo Horizonte	Atlético Mineiro-MG	Corinthians-SP	MG	SP	0	22/06	Mineirão	21h45	35213	93.5		32939	2	1	Igor Junio Benevenuto-MG	N	757300	45228.88	2016	10	1	0	0	0	0	1	10	5	14	4	0
Francisco Carlos Nascimento-AL	N	N	N	Esdras Mariano de Lima-AL_e_Pedro Jorge Santos de Araújo-AL	Chapecó	Chapecoense-SC	Atlético Paranaense-PR	SC	PR	0	23/06	Arena Condá	15h00	3788	100	Partida realizada na quarta-feira foi suspensa por causa da neblina e só foi encerrada no dia seguinte!	3788	0	0	Evandro Bender-SC	N	40415	1448.29	2016	10	0	1	0	0	1	0	8	10	8	9	0
Sandro Meira Ricci-SC	S	N	S	Carlos Berkenbrock-SC_e_Neuza Inês Back-SC	Porto Alegre	Grêmio-RS	Vitória-BA	RS	BA	0	23/06	Arena do Grêmio	19h15	12636	100		12636	1	2	Diego Almeida Real-RS	N	352108	248610.32	2016	10	0	0	1	1	0	0	2	16	3	16	0
Rafael Traci-PR	N	N	N	Rafael Trombeta-PR_e_Pedro Martinelli Christino-PR	São Paulo	São Paulo-SP	Sport-PE	SP	PE	0	23/06	Morumbi	21h00	17686	63		11145	0	0	Vinícius Furlan-SP	N	312698	101140.95	2016	10	0	1	0	0	1	0	7	18	5	17	0
Eduardo Tomaz de Aquino Valadão-GO	N	N	N	Cristhian Passos Sorence-GO_e_Daniel Henrique-DF	Curitiba	Coritiba-PR	Internacional-RS	PR	RS	0	23/06	Couto Pereira	21h30	8798	100		8798	1	1	Adriano Milczvski-PR	N	182630	-17022.87	2016	10	0	1	0	0	1	0	17	2	15	2	0
Leandro Pedro Vuaden-RS	S	S	S	Alessandro Álvaro Rocha Mattos-BA_e_Bruno Pires-GO	Belo Horizonte	Cruzeiro-MG	Palmeiras-SP	MG	SP	0	25/06	Mineirão	19h00	18083	100		18082	2	1	Rodrigo Nunes de Sá-RJ	N	577097	164512.08	2016	11	1	0	0	0	0	1	11	1	14	1	1
Wagner do Nascimento Magalhães-RJ	N	N	N	Luiz Cláudio Regazone-RJ_e_Thiago Henrique Neto Corrêa Farinha-RJ	São Paulo	Corinthians-SP	Santa Cruz-PE	SP	PE	0	25/06	Arena Corinthians	21h00	25501	100		25501	2	1	Rodolpho Toski Marques-PR	N	1384144	780323.22	2016	11	1	0	0	0	0	1	3	15	5	13	1
Anderson Daronco-RS	S	S	S	Marcelo Carvalho Van Gasse-SP_e_Rodrigo F. Henrique Correa-RJ	Belo Horizonte	América Mineiro-MG	Atlético Mineiro-MG	MG	MG	1	26/06	Independência	11h00	12012	73.7		8858	0	1	Rodrigo Batista Raposo-DF	N	231040	70575	2016	11	0	0	1	1	0	0	20	7	20	10	1
Ricardo Marques Ribeiro-MG	S	N	N	Clóvis Amaral da Silva-PE_e_Nailton Júnior de Sousa Oliveira-CE	Salvador	Vitória-BA	Ponte Preta-SP	BA	SP	0	26/06	Manoel Barradas (Barradão)	16h00	5780	83.3		4814	1	1	Wanderson Alves de Souza-MG	N	49493	-10177.18	2016	11	0	1	0	0	1	0	17	16	16	15	1
Luiz Flávio de Oliveira-SP	S	S	N	Emerson Augusto de Carvalho-SP_e_Rogério Pablos Zanardo-SP	Natal	Flamengo-RJ	Fluminense-RJ	RJ	RJ	1	26/06	Arena das Dunas	16h00	25946	100		25946	1	2	Caio Max Augusto Vieira-RN	N	2214850	433041.00 509460.00	2016	11	0	0	1	1	0	0	6	9	6	12	1
Raphael Claus-SP	S	N	N	Danilo Ricardo Simon Manis-SP_e_Miguel Cataneo Ribeiro da Costa-SP	São Paulo	Santos-SP	São Paulo-SP	SP	SP	1	26/06	Pacaembu	16h00	23359	84.4		19726	3	0	Marcelo Aparecido Ribeiro de Souza-SP	N	862720	391654.03	2016	11	1	0	0	0	0	1	2	10	4	7	1
Wilton Pereira Sampaio-GO	S	S	N	Guilherme Dias Camilo-MG_e_Pablo Almeida Costa-MG	Porto Alegre	Internacional-RS	Botafogo-RJ	RS	RJ	0	26/06	Beira-Rio	16h00	21562	100		21562	2	3	Igor Junio Benevenuto-MG	N	652271	448697.05	2016	11	0	0	1	1	0	0	3	18	2	18	1
Wagner Reway-MT	N	N	N	Carlos Berkenbrock-SC_e_Fábio Rodrigo Rubinho-MT	Curitiba	Atlético Paranaense-PR	Grêmio-RS	PR	RS	0	26/06	Arena da Baixada	16h00	16838	100		16838	2	0	Pablo dos Santos Alves-PB	N	426600	150859.44	2016	11	1	0	0	0	0	1	7	5	10	2	1
Elmo Alves Resende Cunha-GO	N	N	N	Dibert Pedrosa Moisés-RJ_e_Vanderson Zanotti-ES	Florianópolis	Figueirense-SC	Coritiba-PR	SC	PR	0	26/06	Orlando Scarpelli	18h30	5834	100		5834	0	0	Vinícius Furlan-SP	N	67910	15237.15	2016	11	0	1	0	0	1	0	12	19	9	17	1
Dewson Fernando Freitas da Silva-PA	S	N	N	Ivan Carlos Bohn-PR_e_Luciano Roggenbaum-PR	Recife	Sport-PE	Chapecoense-SC	PE	SC	0	26/06	Ilha do Retiro	18h30	8086	97.3		7868	5	1	Alisson Furtado-TO	N	125290	65772.63	2016	11	1	0	0	0	0	1	14	13	18	8	1
Leonardo Garcia Cavaleiro-RJ	N	N	N	Dibert Pedrosa Moisés-RJ_e_Luiz Cláudio Regazone-RJ	Salvador	Vitória-BA	Sport-PE	BA	PE	0	29/06	Manoel Barradas (Barradão)	19h30	6856	85.2		5840	3	2	Jaílson Macedo Freitas-BA	N	58847	-1467.45	2016	12	1	0	0	0	0	1	13	14	17	14	0
Ricardo Marques Ribeiro-MG	S	N	N	Pablo Almeida Costa-MG_e_Celso Luiz da Silva-MG	Cariacica	Flamengo-RJ	Internacional-RS	RJ	RS	0	29/06	Kléber Andrade	19h30	19558	100		19558	1	0	Devarly do Rosário-ES	N	1089180	510000	2016	12	1	0	0	0	0	1	6	5	6	3	0
Eduardo Tomaz de Aquino Valadão-GO	N	S	S	Alessandro Álvaro Rocha Mattos-BA_e_Bruno Pires-GO	Porto Alegre	Grêmio-RS	Santos-SP	RS	SP	0	29/06	Arena do Grêmio	19h30	13088	100		13088	3	2	Jean Pierre Gonçalves Lima-RS	N	363345	259373.87	2016	12	1	0	0	0	0	1	3	4	5	2	0
Thiago Duarte Peixoto-SP	N	N	N	Ivan Carlos Bohn-PR_e_Luciano Roggenbaum-PR	Curitiba	Coritiba-PR	Atlético Paranaense-PR	PR	PR	1	29/06	Couto Pereira	21h00	12861	100		12861	1	0	Rafael Traci-PR	N	301230	41086.86	2016	12	1	0	0	0	0	1	16	9	19	7	0
Rodolpho Toski Marques-PR	N	N	N	Luiz H. Souza Santos Renesto-PR_e_Victor Hugo Imazu dos Santos-PR	Chapecó	Chapecoense-SC	Cruzeiro-MG	SC	MG	0	29/06	Arena Condá	21h00	6774	100		6774	3	2	Célio Amorim-SC	N	70215	28254.09	2016	12	1	0	0	0	0	1	9	12	13	11	0
Anderson Daronco-RS	S	N	N	José Eduardo Calza-RS_e_Elio Nepomuceno de Andrade Júnior-RS	São Paulo	São Paulo-SP	Fluminense-RJ	SP	RJ	0	29/06	Morumbi	21h45	16032	64.4		10323	2	1	Leandro Bizzio Marinho-SP	N	294246	90859.63	2016	12	1	0	0	0	0	1	8	11	10	9	0
Wagner Reway-MT	N	S	N	Eduardo Gonçalves da Cruz-MS_e_Fabiano da Silva Ramires-ES	Belo Horizonte	América Mineiro-MG	Corinthians-SP	MG	SP	0	29/06	Independência	21h45	3970	66.6		2645	0	2	Igor Junio Benevenuto-MG	N	87520	10822.78	2016	12	0	0	1	1	0	0	20	2	20	3	0
Gilberto Rodrigues Castro Júnior-PE	N	S	N	Guilherme Dias Camilo-MG_e_Clóvis Amaral da Silva-PE	São Paulo	Palmeiras-SP	Figueirense-SC	SP	SC	0	30/06	Allianz Parque	19h30	32834	100		32834	4	0	Flávio Rodrigues de Souza-SP	N	1935544.72	1395814.04	2016	12	1	0	0	0	0	1	1	17	1	12	0
Francisco Carlos Nascimento-AL	N	N	N	Esdras Mariano de Lima-AL_e_Pedro Jorge Santos de Araújo-AL	Recife	Santa Cruz-PE	Ponte Preta-SP	PE	SP	0	30/06	Arruda	19h30	7675	91.5		7025	0	3	Nielson Nogueira Dias-PE	N	112320	76766.39	2016	12	0	0	1	1	0	0	18	14	15	16	0
Raphael Claus-SP	S	N	N	Rogério Pablos Zanardo-SP_e_Danilo Ricardo Simon Manis-SP	Belo Horizonte	Atlético Mineiro-MG	Botafogo-RJ	MG	RJ	0	30/06	Mineirão	21h00	36309	95.1		34512	5	3	Emerson de Almeida Ferreira-MG	N	804255	50598.55	2016	12	1	0	0	0	0	1	7	19	7	18	0
Leandro Pedro Vuaden-RS	S	S	N	Fabrício Vilarinho da Silva-GO_e_Rafael da Silva Alves-RS	Volta Redonda	Fluminense-RJ	Coritiba-PR	RJ	PR	0	02/07	Raulino de Oliveira	16h00	10300	8.9		917	0	0	Leonardo Garcia Cavaleiro-RJ	N	22630	-73301.44	2016	13	0	1	0	0	1	0	11	15	11	16	1
Luiz Flávio de Oliveira-SP	S	N	N	Danilo Ricardo Simon Manis-SP_e_Rogério Pablos Zanardo-SP	Curitiba	Atlético Paranaense-PR	América Mineiro-MG	PR	MG	0	02/07	Arena da Baixada	18h30	10137	100		10137	1	0	Rodolpho Toski Marques-PR	N	150110	-60906.3	2016	13	1	0	0	0	0	1	6	20	9	20	1
Péricles Bassols Pegado Cortez-PE	S	N	N	Cléberson Nascimento-PE_e_Bruno Chaves-PE	Belo Horizonte	Cruzeiro-MG	Vitória-BA	MG	BA	0	03/07	Mineirão	11h00	43822	100		43821	2	2	Emerson de Almeida Ferreira-MG	N	1318807	182086.26	2016	13	0	1	0	0	1	0	12	14	12	13	1
Dewson Fernando Freitas da Silva-PA	S	S	S	Emerson Augusto de Carvalho-SP_e_Tatiane Sacilotti dos Santos Camargo-SP	Porto Alegre	Internacional-RS	Grêmio-RS	RS	RS	1	03/07	Beira-Rio	11h00	36229	100		36229	0	1	Diego Almeida Real-RS	N	1726850	1398987.22	2016	13	0	0	1	1	0	0	5	3	5	3	1
Bráulio da Silva Machado-SC	N	S	N	Rodrigo F. Henrique Correa-RJ_e_Clóvis Amaral da Silva-PE	Juiz de Fora	Botafogo-RJ	Santa Cruz-PE	RJ	PE	0	03/07	Mário Helênio	16h00	5033	100		5033	2	1	Rodrigo Nunes de Sá-RJ	N	126920	-60400.17	2016	13	1	0	0	0	0	1	17	19	19	18	1
Heber Roberto Lopes-SC	S	S	S	Guilherme Dias Camilo-MG_e_Nadine Schramm Camara Bastos-SC	São Paulo	Corinthians-SP	Flamengo-RJ	SP	RJ	0	03/07	Arena Corinthians	16h00	32577	100		32577	4	0	Thiago Duarte Peixoto-SP	N	2025123.5	1272565.98	2016	13	1	0	0	0	0	1	2	7	2	6	1
Bruno Arleu de Araújo-RJ	N	N	N	Dibert Pedrosa Moisés-RJ_e_Thiago Henrique Neto Corrêa Farinha-RJ	Santos	Santos-SP	Chapecoense-SC	SP	SC	0	03/07	Vila Belmiro	16h00	10368	99.6		10322	3	0	Marcelo Aparecido Ribeiro de Souza-SP	N	296600	135397.28	2016	13	1	0	0	0	0	1	3	12	4	9	1
Vinícius Furlan-SP	N	N	N	Bruno Salgado Rizo-SP_e_Fabrício Porfirio de Moura-SP	Campinas	Ponte Preta-SP	São Paulo-SP	SP	SP	1	03/07	Moisés Lucarelli	16h00	6190	83		5137	1	0	Márcio Henrique de Gois-SP	N	116870	12590.24	2016	13	1	0	0	0	0	1	10	9	14	8	1
Rafael Traci-PR	N	N	N	Ivan Carlos Bohn-PR_e_Luciano Roggenbaum-PR	Florianópolis	Figueirense-SC	Atlético Mineiro-MG	SC	MG	0	03/07	Orlando Scarpelli	19h00	5226	100		5226	1	1	Evandro Bender-SC	N	66550	16973.5	2016	13	0	1	0	0	1	0	16	8	17	7	1
Anderson Daronco-RS	S	N	N	Alexandre Pruinelli Kleiniche-RS_e_Elio Nepomuceno de Andrade Júnior-RS	Recife	Sport-PE	Palmeiras-SP	PE	SP	0	04/07	Ilha do Retiro	20h00	24973	100		24968	1	3	Emerson Sobral-PE	N	491860	333777.6	2016	13	0	0	1	1	0	0	18	1	14	1	0
Luiz Flávio de Oliveira-SP	S	N	N	Danilo Ricardo Simon Manis-SP_e_Gustavo Rodrigues de Oliveira-SP	Curitiba	Coritiba-PR	Botafogo-RJ	PR	RJ	0	09/07	Couto Pereira	16h30	10922	100		10922	0	0	Paulo Roberto Alves Jr.-PR	N	225465	-1989.24	2016	14	0	1	0	0	1	0	14	15	15	17	1
Ricardo Marques Ribeiro-MG	S	N	N	Pablo Almeida Costa-MG_e_Celso Luiz da Silva-MG	Chapecó	Chapecoense-SC	Corinthians-SP	SC	SP	0	09/07	Arena Condá	16h30	11615	100		11615	0	2	Ronan Marques da Rosa-SC	N	380345	302420.04	2016	14	0	0	1	1	0	0	13	2	12	2	1
Heber Roberto Lopes-SC	S	N	S	Carlos Berkenbrock-SC_e_Nadine Schramm Camara Bastos-SC	Campinas	Ponte Preta-SP	Sport-PE	SP	PE	0	09/07	Moisés Lucarelli	21h00	4318	67		2892	2	1	Leonardo Ferreira Lima-SP	N	45840	-28382.24	2016	14	1	0	0	0	0	1	9	19	10	18	1
Marielson Alves Silva-BA	N	S	S	Alessandro Álvaro Rocha Mattos-BA_e_Bruno Pires-GO	Brasília	Flamengo-RJ	Atlético Mineiro-MG	RJ	MG	0	10/07	Mané Garrincha	11h00	25162	93		23390	2	0	Rodrigo Batista Raposo-DF	N	1139180	488144.42	2016	14	1	0	0	0	0	1	6	10	7	8	1
Jaílson Macedo Freitas-BA	N	N	N	Elicarlos Franco de Oliveira-BA_e_Fabiano da Silva Ramires-ES	Porto Alegre	Grêmio-RS	Figueirense-SC	RS	SC	0	10/07	Arena do Grêmio	11h00	34013	100		34013	2	1	Jean Pierre Gonçalves Lima-RS	N	1314698	1088519.73	2016	14	1	0	0	0	0	1	3	18	3	16	1
Dewson Fernando Freitas da Silva-PA	S	N	N	Márcio Gleidson Correia Dias-PA_e_Hélcio Araújo Neves-PA	São Paulo	São Paulo-SP	América Mineiro-MG	SP	MG	0	10/07	Morumbi	16h00	14785	55.4		8198	3	0	Leandro Bizzio Marinho-SP	N	234356	39251.67	2016	14	1	0	0	0	0	1	7	20	9	20	1
Sandro Meira Ricci-SC	S	S	S	Emerson Augusto de Carvalho-SP_e_Kléber Lúcio Gil-SC	Recife	Santa Cruz-PE	Internacional-RS	PE	RS	0	10/07	Arruda	16h00	9258	78.7		7282	1	0	Luiz Sobral-PE	N	122165	82084.69	2016	14	1	0	0	0	0	1	16	8	19	5	1
Marcelo Aparecido Ribeiro de Souza-SP	N	N	N	Daniel Paulo Ziolli-SP_e_Alberto Poletto Masseira-SP	Salvador	Vitória-BA	Fluminense-RJ	BA	RJ	0	10/07	Manoel Barradas (Barradão)	19h30	7784	89.1		6938	0	0	Johnn Herbert Alves Bispo-BA	N	88974	22438.43	2016	14	0	1	0	0	1	0	12	11	14	11	1
Anderson Daronco-RS	S	N	N	José Eduardo Calza-RS_e_Elio Nepomuceno de Andrade Júnior-RS	Belo Horizonte	Cruzeiro-MG	Atlético Paranaense-PR	MG	PR	0	11/07	Mineirão	20h00	32042	100		32042	0	3	Igor Junio Benevenuto-MG	N	876757	154785.19	2016	14	0	0	1	1	0	0	16	5	12	6	0
Wilton Pereira Sampaio-GO	S	S	N	Tatiane Sacilotti dos Santos Camargo-SP_e_Miguel Cataneo Ribeiro da Costa-SP	São Paulo	Palmeiras-SP	Santos-SP	SP	SP	1	12/07	Allianz Parque	20h30	40035	100		40035	1	1	Douglas Marques das Flores-SP	N	2847298.8	2202527.69	2016	14	0	1	0	0	1	0	1	3	1	3	0
Flávio Rodrigues de Souza-SP	N	N	N	Danilo Ricardo Simon Manis-SP_e_Alex Ang Ribeiro-SP	Rio de Janeiro	Botafogo-RJ	Flamengo-RJ	RJ	RJ	1	16/07	Luso-Brasileiro	16h00	9989	100		9989	3	3	Rodrigo Carvalhães de Miranda-RJ	N	391830	65349.71	2016	15	0	1	0	0	1	0	16	6	15	6	1
Marielson Alves Silva-BA	N	N	N	Gustavo Rodrigues de Oliveira-SP_e_Bruno Salgado Rizo-SP	Santos	Santos-SP	Ponte Preta-SP	SP	SP	1	16/07	Vila Belmiro	18h30	12164	98.5		11979	3	1	José Cláudio Rocha Filho-SP	N	364360	190465.49	2016	15	1	0	0	0	0	1	3	11	3	9	1
Grazianni Maciel Rocha-RJ	N	N	N	Dibert Pedrosa Moisés-RJ_e_Thiago Henrique Neto Corrêa Farinha-RJ	Belo Horizonte	América Mineiro-MG	Santa Cruz-PE	MG	PE	0	17/07	Independência	11h00	2264	63.6		1441	0	3	Flávio Henrique Coutinho Teixeira-MG	N	24390	-48428.68	2016	15	0	0	1	1	0	0	20	12	20	16	1
Wilton Pereira Sampaio-GO	S	S	S	Fabrício Vilarinho da Silva-GO_e_Bruno Boschilla-PR	Mesquita	Fluminense-RJ	Cruzeiro-MG	RJ	MG	0	17/07	Giulite Coutinho	16h00	9315	90		8381	2	0	Alexandre Vargas Tavares de Jesus-RJ	N	263285	111405.86	2016	15	1	0	0	0	0	1	10	19	11	16	1
Péricles Bassols Pegado Cortez-PE	S	S	S	Alessandro Álvaro Rocha Mattos-BA_e_Guilherme Dias Camilo-MG	São Paulo	Corinthians-SP	São Paulo-SP	SP	SP	1	17/07	Arena Corinthians	16h00	42099	100		42099	1	1	Wagner Reway-MT	N	2620166	1735520.32	2016	15	0	1	0	0	1	0	2	6	2	7	1
Wagner do Nascimento Magalhães-RJ	N	S	N	Rodrigo F. Henrique Correa-RJ_e_Luiz Cláudio Regazone-RJ	Curitiba	Atlético Paranaense-PR	Vitória-BA	PR	BA	0	17/07	Arena da Baixada	16h00	15683	100		15683	1	1	Leonardo Garcia Cavaleiro-RJ	N	291890	39123.08	2016	15	0	1	0	0	1	0	5	13	5	12	1
Sandro Meira Ricci-SC	S	S	S	Emerson Augusto de Carvalho-SP_e_Marcelo Carvalho Van Gasse-SP	Florianópolis	Figueirense-SC	Chapecoense-SC	SC	SC	1	17/07	Orlando Scarpelli	16h00	6017	100		6017	1	1	Rodolpho Toski Marques-PR	N	73955	18315.42	2016	15	0	1	0	0	1	0	17	14	18	13	1
André Luiz de Freitas Castro-GO	N	S	S	Kléber Lúcio Gil-SC_e_Bruno Pires-GO	Porto Alegre	Internacional-RS	Palmeiras-SP	RS	SP	0	17/07	Beira-Rio	16h00	27293	100		27293	0	1	Paulo Henrique Schleich Vollkoph-MS	N	774870	553636.77	2016	15	0	0	1	1	0	0	9	1	8	1	1
Rodrigo Batista Raposo-DF	N	N	N	Fabiano da Silva Ramires-ES_e_José Reinaldo-DF	Recife	Sport-PE	Grêmio-RS	PE	RS	0	17/07	Ilha do Retiro	18h30	9835	98.4		9675	4	2	Caio Max Augusto Vieira-RN	N	153730	84719.1	2016	15	1	0	0	0	0	1	15	3	19	3	1
Leandro Pedro Vuaden-RS	S	N	N	Carlos Berkenbrock-SC_e_Elio Nepomuceno de Andrade Júnior-RS	Belo Horizonte	Atlético Mineiro-MG	Coritiba-PR	MG	PR	0	18/07	Independência	20h00	20018	99.7		19965	2	1	Nielson Nogueira Dias-PE	N	639656	24427.09	2016	15	1	0	0	0	0	1	8	17	10	14	0
Marielson Alves Silva-BA	N	N	N	Cristhian Passos Sorence-GO_e_Leone Carvalho-GO	São Paulo	Corinthians-SP	Figueirense-SC	SP	SC	0	23/07	Arena Corinthians	16h00	38507	100		38507	1	1	Marcelo Aparecido Ribeiro de Souza-SP	N	2513051.5	1705469.9	2016	16	0	1	0	0	1	0	2	17	2	17	1
Wilton Pereira Sampaio-GO	S	S	S	Fabrício Vilarinho da Silva-GO_e_Bruno Pires-GO	Recife	Santa Cruz-PE	Coritiba-PR	PE	PR	0	23/07	Arruda	18h30	9733	81.9		7970	0	1	Emerson Sobral-PE	N	133770	91746.21	2016	16	0	0	1	1	0	0	14	15	12	17	1
Wagner do Nascimento Magalhães-RJ	N	N	N	Dibert Pedrosa Moisés-RJ_e_Luiz Cláudio Regazone-RJ	São Paulo	Palmeiras-SP	Atlético Mineiro-MG	SP	MG	0	24/07	Allianz Parque	11h00	39400	100		39400	0	1	Thiago Duarte Peixoto-SP	N	2935305.48	2302945.32	2016	16	0	0	1	1	0	0	1	7	1	8	1
