unidade,pib2010,capita2010,pib2011,capita2011,pib2012,capita2012,pib2013,capita2013
Iraí,77116,9546.41,87693,10976.68,98751,12496.99,123553,15193.49
Itaara,50115,10000.9,63616,12612.11,58412,11507.46,75542,14339.77
Itacurubi,45061,13095.38,46797,13615.67,46719,13612.88,68060,19177.26
Itapuca,29103,12453.21,34528,14895.39,30920,13490.28,42905,18195.69
Itaqui,685540,17962.05,725262,19067.77,819808,21621.7,1006524,25694.33
Itati,34450,13306.13,34106,13296.54,36809,14457.6,56709,21603.6
Itatiba do Sul,36916,8850.64,38540,9425.26,38639,9640.39,48877,11903.75
Ivorá,31651,14680.63,29346,13777.45,27186,12915.12,42898,19805.26
Ivoti,509082,25611.61,553205,27353.9,643898,31314.97,714430,33306.77
Jaboticaba,56657,13781.93,58896,14488.47,47892,11877.99,71132,17115.57
Jacuizinho,38703,15438.02,49123,19500.98,40455,15990.01,81080,30911.08
Jacutinga,68461,18859.8,80513,22241.04,78166,21670.53,123694,33215.43
Jaguarão,327360,11715.71,329838,11879.19,398900,14450.29,517868,18182.3
Jaguari,136855,11923.27,143623,12602.91,159625,14101.11,194363,16647.81
Jaquirana,39847,9539.63,42230,10227.76,46861,11482.68,54567,12995.35
Jari,74236,20765.24,95318,26759.62,70201,19780.5,152926,41726.02
Jóia,204183,24514.66,262753,31524.01,161134,19322.91,361460,41888.92
Júlio de Castilhos,410182,20950.09,521171,26706.17,493484,25367.99,801761,39894.54
Lagoa Bonita do Sul,29599,11119.16,36570,13655.73,37067,13759.17,49015,17536.84
Lagoa dos Três Cantos,40344,25246.56,47606,29828.16,44327,27808.6,69853,42386.67
Lagoa Vermelha,548117,19910.54,619632,22536.16,692023,25195.64,814412,28670.43
Lagoão,53030,8573.94,61100,9791.65,61341,9819.2,84565,13076.43
Lajeado,2124294,29718.31,2368505,32742.2,2835732,38738.99,2884716,37863.62
Lajeado do Bugre,23563,9474.54,29109,11695.05,24701,9915.97,38520,14935.99
Lavras do Sul,119469,15578.11,120413,15748.54,130309,17112.17,176727,22478.67
Liberato Salzano,56098,9705.47,69854,12212.25,63804,11270.75,90298,15496.54
Lindolfo Collor,159143,30434.78,149908,28337.9,183853,34365.07,224567,40339.04
Linha Nova,24268,14943.57,25976,15945.77,28126,17212.94,39630,23421.89
Maçambará,123711,26088.44,126271,26774.99,110279,23493.6,183576,37889.69
Machadinho,74102,13436.47,78550,14297.38,81425,14863.98,102652,18136.47
Mampituba,24451,8158.43,26049,8694.49,28911,9675.58,35108,11372.85
Manoel Viana,100668,14230.75,119278,16851.95,107132,15123.05,174978,23861.76
Maquiné,57601,8338.26,63385,9219.68,69981,10223.67,85362,12077.24
Maratá,53728,21261.63,59615,23498.26,70128,27544.34,84698,32094.57
Marau,1102987,30316,1402412,37924.54,1365560,36344.18,1495879,38177.71
Marcelino Ramos,58586,11411.29,66616,13165.16,70805,14197.86,85860,16759.71
Mariana Pimentel,39964,10606.25,41725,11064.75,41949,11115.36,47315,12113.47
